timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778090989629,39,01 - Homepage,200,OK,Realistic User Journey 1-3,text,true,,9011,210,28,28,http://localhost/,35,0,19
1778090989855,5,01 - Homepage,200,OK,Realistic User Journey 1-2,text,true,,9011,210,28,28,http://localhost/,4,0,1
1778090991651,4,01 - Homepage,200,OK,Realistic User Journey 1-6,text,true,,9011,210,30,30,http://localhost/,3,0,1
1778090992103,3,01 - Homepage,200,OK,Realistic User Journey 1-1,text,true,,9011,210,30,30,http://localhost/,2,0,0
1778090995801,3,01 - Homepage,200,OK,Realistic User Journey 1-5,text,true,,9011,210,33,33,http://localhost/,3,0,0
1778090995810,3,01 - Homepage,200,OK,Realistic User Journey 1-4,text,true,,9011,210,33,33,http://localhost/,3,0,1
1778090997047,4,01 - Homepage,200,OK,Realistic User Journey 1-9,text,true,,9011,210,34,34,http://localhost/,4,0,1
1778090997723,6,01 - Homepage,200,OK,Realistic User Journey 1-10,text,true,,9011,210,35,35,http://localhost/,5,0,1
1778090997793,4,01 - Homepage,200,OK,Realistic User Journey 1-7,text,true,,9011,210,35,35,http://localhost/,4,0,1
1778090998538,7,01 - Homepage,200,OK,Realistic User Journey 1-8,text,true,,9011,210,36,36,http://localhost/,6,0,2
1778090998820,3,01 - Homepage,200,OK,Realistic User Journey 1-12,text,true,,9011,210,36,36,http://localhost/,3,0,0
1778091003809,3,01 - Homepage,200,OK,Realistic User Journey 1-11,text,true,,9011,210,40,40,http://localhost/,3,0,0
1778091006024,5,01 - Homepage,200,OK,Realistic User Journey 1-16,text,true,,9011,210,42,42,http://localhost/,5,0,1
1778091006188,6,01 - Homepage,200,OK,Realistic User Journey 1-13,text,true,,9011,210,42,42,http://localhost/,6,0,1
1778091006828,4,01 - Homepage,200,OK,Realistic User Journey 1-15,text,true,,9011,210,43,43,http://localhost/,4,0,0
1778091008007,5,01 - Homepage,200,OK,Realistic User Journey 1-18,text,true,,9011,210,44,44,http://localhost/,5,0,1
1778091009363,3,01 - Homepage,200,OK,Realistic User Journey 1-14,text,true,,9011,210,45,45,http://localhost/,3,0,0
1778091009730,5,01 - Homepage,200,OK,Realistic User Journey 1-20,text,true,,9011,210,45,45,http://localhost/,5,0,1
1778091010124,5,01 - Homepage,200,OK,Realistic User Journey 1-17,text,true,,9011,210,45,45,http://localhost/,5,0,1
1778091015851,4,01 - Homepage,200,OK,Realistic User Journey 1-21,text,true,,9011,210,50,50,http://localhost/,4,0,1
1778091016566,4,01 - Homepage,200,OK,Realistic User Journey 1-19,text,true,,9011,210,50,50,http://localhost/,4,0,1
1778091018792,5,01 - Homepage,200,OK,Realistic User Journey 1-24,text,true,,9011,210,50,50,http://localhost/,5,0,1
1778091018813,4,01 - Homepage,200,OK,Realistic User Journey 1-23,text,true,,9011,210,50,50,http://localhost/,4,0,1
1778091019625,4,01 - Homepage,200,OK,Realistic User Journey 1-22,text,true,,9011,210,50,50,http://localhost/,4,0,1
1778091019848,6,01 - Homepage,200,OK,Realistic User Journey 1-25,text,true,,9011,210,50,50,http://localhost/,6,0,1
1778091021864,4,01 - Homepage,200,OK,Realistic User Journey 1-27,text,true,,9011,210,50,50,http://localhost/,4,0,0
1778091022117,155,02 - Browse Catalogue,200,OK,Realistic User Journey 1-2,text,true,,3078,267,50,50,http://localhost/catalogue,153,0,0
1778091022308,12,02 - Browse Catalogue,200,OK,Realistic User Journey 1-3,text,true,,3078,267,50,50,http://localhost/catalogue,12,0,0
1778091023339,4,01 - Homepage,200,OK,Realistic User Journey 1-28,text,true,,9011,210,50,50,http://localhost/,4,0,0
1778091023693,4,01 - Homepage,200,OK,Realistic User Journey 1-29,text,true,,9011,210,50,50,http://localhost/,4,0,1
1778091023904,4,01 - Homepage,200,OK,Realistic User Journey 1-26,text,true,,9011,210,50,50,http://localhost/,4,0,1
1778091024937,5,01 - Homepage,200,OK,Realistic User Journey 1-30,text,true,,9011,210,50,50,http://localhost/,5,0,1
1778091026265,3,01 - Homepage,200,OK,Realistic User Journey 1-31,text,true,,9011,210,50,50,http://localhost/,3,0,1
1778091027127,10,02 - Browse Catalogue,200,OK,Realistic User Journey 1-4,text,true,,3076,267,50,50,http://localhost/catalogue,10,0,0
1778091027285,4,01 - Homepage,200,OK,Realistic User Journey 1-33,text,true,,9011,210,50,50,http://localhost/,4,0,1
1778091027857,14,02 - Browse Catalogue,200,OK,Realistic User Journey 1-6,text,true,,3076,267,50,50,http://localhost/catalogue,14,0,0
1778091028227,12,02 - Browse Catalogue,200,OK,Realistic User Journey 1-7,text,true,,3084,267,50,50,http://localhost/catalogue,11,0,0
1778091028240,10,02 - Browse Catalogue,200,OK,Realistic User Journey 1-5,text,true,,3074,267,50,50,http://localhost/catalogue,10,0,0
1778091029762,6,01 - Homepage,200,OK,Realistic User Journey 1-34,text,true,,9011,210,50,50,http://localhost/,6,0,1
1778091029999,9,02 - Browse Catalogue,200,OK,Realistic User Journey 1-1,text,true,,3074,267,50,50,http://localhost/catalogue,9,0,0
1778091031531,8,02 - Browse Catalogue,200,OK,Realistic User Journey 1-8,text,true,,3078,267,50,50,http://localhost/catalogue,8,0,0
1778091031735,4,01 - Homepage,200,OK,Realistic User Journey 1-38,text,true,,9011,210,50,50,http://localhost/,4,0,1
1778091032884,12,02 - Browse Catalogue,200,OK,Realistic User Journey 1-12,text,true,,3076,267,50,50,http://localhost/catalogue,12,0,0
1778091032915,4,01 - Homepage,200,OK,Realistic User Journey 1-32,text,true,,9011,210,50,50,http://localhost/,4,0,0
1778091033413,4,01 - Homepage,200,OK,Realistic User Journey 1-37,text,true,,9011,210,50,50,http://localhost/,4,0,1
1778091034171,14,02 - Browse Catalogue,200,OK,Realistic User Journey 1-10,text,true,,3074,267,50,50,http://localhost/catalogue,14,0,0
1778091034504,10,02 - Browse Catalogue,200,OK,Realistic User Journey 1-9,text,true,,3074,267,50,50,http://localhost/catalogue,10,0,0
1778091035001,3,01 - Homepage,200,OK,Realistic User Journey 1-36,text,true,,9011,210,50,50,http://localhost/,3,0,1
1778091036599,10,02 - Browse Catalogue,200,OK,Realistic User Journey 1-15,text,true,,3074,267,50,50,http://localhost/catalogue,10,0,0
1778091037034,7,01 - Homepage,200,OK,Realistic User Journey 1-39,text,true,,9011,210,50,50,http://localhost/,7,0,1
1778091037508,5,01 - Homepage,200,OK,Realistic User Journey 1-42,text,true,,9011,210,50,50,http://localhost/,5,0,1
1778091037608,5,01 - Homepage,200,OK,Realistic User Journey 1-35,text,true,,9011,210,50,50,http://localhost/,5,0,1
1778091038613,4,01 - Homepage,200,OK,Realistic User Journey 1-41,text,true,,9011,210,50,50,http://localhost/,4,0,1
1778091038914,6,01 - Homepage,200,OK,Realistic User Journey 1-40,text,true,,9011,210,50,50,http://localhost/,6,0,1
1778091039559,9,02 - Browse Catalogue,200,OK,Realistic User Journey 1-16,text,true,,3076,267,50,50,http://localhost/catalogue,9,0,0
1778091041348,10,02 - Browse Catalogue,200,OK,Realistic User Journey 1-14,text,true,,3080,267,50,50,http://localhost/catalogue,10,0,0
1778091041470,7,01 - Homepage,200,OK,Realistic User Journey 1-43,text,true,,9011,210,50,50,http://localhost/,7,0,2
