timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778169432200,1105,01 - Homepage,200,OK,Realistic User Journey 1-3,text,true,,9011,210,55,55,http://localhost/,1099,0,17
1778169434308,1017,01 - Homepage,200,OK,Realistic User Journey 1-5,text,true,,9011,210,58,58,http://localhost/,1017,0,2
1778169435445,962,01 - Homepage,200,OK,Realistic User Journey 1-2,text,true,,9011,210,60,60,http://localhost/,962,0,1
1778169437523,993,01 - Homepage,200,OK,Realistic User Journey 1-6,text,true,,9011,210,64,64,http://localhost/,993,0,1
1778169437860,1023,01 - Homepage,200,OK,Realistic User Journey 1-4,text,true,,9011,210,64,64,http://localhost/,1023,0,1
1778169438123,1020,01 - Homepage,200,OK,Realistic User Journey 1-1,text,true,,9011,210,65,65,http://localhost/,1020,0,1
1778169438166,994,01 - Homepage,200,OK,Realistic User Journey 1-10,text,true,,9011,210,65,65,http://localhost/,994,0,1
1778169439622,989,01 - Homepage,200,OK,Realistic User Journey 1-7,text,true,,9011,210,69,69,http://localhost/,989,0,2
1778169439767,998,01 - Homepage,200,OK,Realistic User Journey 1-18,text,true,,9011,210,69,69,http://localhost/,998,0,1
1778169439773,1032,01 - Homepage,200,OK,Realistic User Journey 1-12,text,true,,9011,210,69,69,http://localhost/,1032,0,2
1778169441151,1023,01 - Homepage,200,OK,Realistic User Journey 1-9,text,true,,9011,210,72,72,http://localhost/,1023,0,1
1778169441506,1034,01 - Homepage,200,OK,Realistic User Journey 1-13,text,true,,9011,210,72,72,http://localhost/,1034,0,2
1778169441790,1042,01 - Homepage,200,OK,Realistic User Journey 1-8,text,true,,9011,210,73,73,http://localhost/,1042,0,1
1778169443651,1009,01 - Homepage,200,OK,Realistic User Journey 1-16,text,true,,9011,210,74,74,http://localhost/,1009,0,1
1778169443754,1018,01 - Homepage,200,OK,Realistic User Journey 1-15,text,true,,9011,210,74,74,http://localhost/,1018,0,1
1778169443784,1033,01 - Homepage,200,OK,Realistic User Journey 1-20,text,true,,9011,210,74,74,http://localhost/,1033,0,1
1778169444295,929,01 - Homepage,200,OK,Realistic User Journey 1-21,text,true,,9011,210,75,75,http://localhost/,929,0,1
1778169444502,1028,01 - Homepage,200,OK,Realistic User Journey 1-17,text,true,,9011,210,75,75,http://localhost/,1027,0,2
1778169445714,1011,01 - Homepage,200,OK,Realistic User Journey 1-24,text,true,,9011,210,77,77,http://localhost/,1011,0,1
1778169446179,995,01 - Homepage,200,OK,Realistic User Journey 1-23,text,true,,9011,210,78,78,http://localhost/,995,0,2
1778169446469,1016,01 - Homepage,200,OK,Realistic User Journey 1-19,text,true,,9011,210,79,79,http://localhost/,1015,0,2
1778169446535,979,01 - Homepage,200,OK,Realistic User Journey 1-14,text,true,,9011,210,79,79,http://localhost/,979,0,2
1778169446674,1024,01 - Homepage,200,OK,Realistic User Journey 1-11,text,true,,9011,210,79,79,http://localhost/,1023,0,1
1778169448497,1041,01 - Homepage,200,OK,Realistic User Journey 1-27,text,true,,9011,210,82,82,http://localhost/,1040,0,1
1778169449958,1023,01 - Homepage,200,OK,Realistic User Journey 1-28,text,true,,9011,210,84,84,http://localhost/,1022,0,1
1778169451696,1036,01 - Homepage,200,OK,Realistic User Journey 1-26,text,true,,9011,210,87,87,http://localhost/,1035,0,1
1778169453062,968,01 - Homepage,200,OK,Realistic User Journey 1-25,text,true,,9011,210,90,90,http://localhost/,967,0,2
1778169454185,991,01 - Homepage,200,OK,Realistic User Journey 1-33,text,true,,9011,210,91,91,http://localhost/,991,0,2
1778169454224,968,01 - Homepage,200,OK,Realistic User Journey 1-29,text,true,,9011,210,91,91,http://localhost/,967,0,1
1778169454312,988,01 - Homepage,200,OK,Realistic User Journey 1-22,text,true,,9011,210,92,92,http://localhost/,988,0,2
1778169454598,1017,01 - Homepage,200,OK,Realistic User Journey 1-35,text,true,,9011,210,92,92,http://localhost/,1017,0,0
1778169455443,1012,01 - Homepage,200,OK,Realistic User Journey 1-30,text,true,,9011,210,94,94,http://localhost/,1012,0,1
1778169455846,1000,01 - Homepage,200,OK,Realistic User Journey 1-34,text,true,,9011,210,94,94,http://localhost/,999,0,4
1778169455922,1029,01 - Homepage,200,OK,Realistic User Journey 1-32,text,true,,9011,210,94,94,http://localhost/,1029,0,1
1778169456193,955,01 - Homepage,200,OK,Realistic User Journey 1-37,text,true,,9011,210,95,95,http://localhost/,954,0,2
1778169456556,991,01 - Homepage,200,OK,Realistic User Journey 1-31,text,true,,9011,210,95,95,http://localhost/,991,0,1
1778169457186,1031,01 - Homepage,200,OK,Realistic User Journey 1-39,text,true,,9011,210,97,97,http://localhost/,1031,0,1
1778169457442,1037,01 - Homepage,200,OK,Realistic User Journey 1-41,text,true,,9011,210,97,97,http://localhost/,1037,0,0
1778169457494,1069,01 - Homepage,200,OK,Realistic User Journey 1-36,text,true,,9011,210,97,97,http://localhost/,1069,0,2
1778169457922,1033,01 - Homepage,200,OK,Realistic User Journey 1-43,text,true,,9011,210,98,98,http://localhost/,1033,0,1
